country,cpi,rank,gdppercap,log_gdp
Qatar,63.0,31.0,66838.36,11.110032446202448
Republic of Congo,21.0,162.0,2290.383,7.736474331472043
Romania,45.0,66.0,14858.23,9.6063091994681
Russia,29.0,136.0,12194.78,9.408763270306894
Rwanda,53.0,52.0,822.348,6.712163663129843
Sao Tome and Principe,45.0,66.0,2360.544,7.766647379931236
Saudi Arabia,53.0,52.0,23185.87,10.05129832038292
Senegal,43.0,73.0,1636.893,7.400555211765089
Republic of Serbia,38.0,96.0,9230.179,9.130233720591624
Seychelles,70.0,23.0,14653.31,9.592421527491492
Sierra Leone,34.0,115.0,480.0392,6.1738677672340625
Singapore,85.0,4.0,72794.0,11.195388813205843
Slovakia,52.0,56.0,21391.93,9.970769027085062
Slovenia,57.0,41.0,29291.4,10.285049236562733
Solomon Islands,43.0,73.0,2304.844,7.74276827418164
Somalia,13.0,178.0,446.9816,6.102517430455374
South Africa,44.0,70.0,7055.045,8.861498242721568
South Sudan,11.0,180.0,,
Spain,61.0,34.0,30103.51,10.31239705523408
Sri Lanka,37.0,102.0,4013.688,8.297465798383142
St. Lucia,56.0,42.0,9414.227,9.14997733469353
St. Vincent and the Grenadines,59.0,36.0,8666.387,9.067207258584077
Sudan,20.0,164.0,751.8214,6.622498795742248
Suriname,39.0,87.0,4869.134,8.490671376855554
Sweden,85.0,4.0,61028.74,11.01910017974128
Switzerland,84.0,7.0,91991.6,11.429452547514856
Syria,13.0,178.0,,
Tajikistan,25.0,150.0,897.0475,6.799108814948852
Tanzania,39.0,87.0,1099.288,7.002417976487759
Thailand,35.0,110.0,7066.19,8.863076716886761
Timor-Leste,41.0,82.0,2741.394,7.916221829132159
Togo,30.0,128.0,973.2061,6.880595878871639
Trinidad and Tobago,41.0,82.0,16032.5,9.682373191023018
Tunisia,44.0,70.0,3807.139,8.244633267404955
Turkey,38.0,96.0,9661.236,9.17587686933218
Turkmenistan,19.0,169.0,,
Uganda,27.0,144.0,883.892,6.784334883228342
Ukraine,32.0,122.0,4835.572,8.483754704923117
United Arab Emirates,69.0,24.0,44315.55,10.699090910242948
United Kingdom,78.0,11.0,46510.28,10.747428642410728
United States of America,67.0,27.0,70248.63,11.159796085226471
Uruguay,73.0,18.0,17313.19,9.759223917731148
Uzbekistan,28.0,140.0,1983.065,7.592398906600844
Vanuatu,45.0,66.0,2996.621,8.005240599526823
Venezuela,14.0,177.0,,
Vietnam,39.0,87.0,3756.489,8.231240023547242
Yemen,16.0,174.0,,
Zambia,33.0,117.0,1137.344,7.036450998563021
Zimbabwe,23.0,157.0,1773.92,7.480947066024042
